Date,Ticker,Name,Open,High,Low,Close,Volume
21/06/2021,fb,"Facebook, Inc.",331.089996,332.920013,327.649994,332.290009,11337500
21/06/2021,fb,"Facebook, Inc.         ",331.089996,332.920013,327.649994,332.290009,11337500
22/06/2021,fb,"     Facebook, Inc.",332.690002,339.920013,332.600006,339.029999,15345300
23/06/2021,fb,"   Facebook, Inc.",339.350006,343.420013,338.200012,340.589996,14817800
24/06/2021,fb,"      Facebook, Inc.",341.850006,344.899994,341.790009,343.179993,12329100
25/06/2021,fb,"Facebook,     Inc.          ",342.589996,344.119995,339.679993,341.369995,14594400
44375,Fb,"Facebook,                      Inc.",342.459991,358.140015,341.769989,355.640015,29156100
29/06/2021,fb,"   Facebook, Inc.",356.269989,356.73999,349.049988,351.890015,21417300
30/06/2021,Fb,"  Facebook, Inc.",352.170013,352.920013,347.170013,347.709991,15107500
1/07/2021,fb," Facebook, Inc.",346.820007,354.670013,346.5,354.390015,17137000
2/07/2021,fb,"              Facebook, Inc.",355.100006,356.440002,352.619995,354.700012,11521300
,,,,,,,
21/06/2021,AmZN,"Amazon.com, Inc.",3476.419922,3482,3434,3453.959961,3277100
22/06/2021,AMZN,"    Amazon.com, Inc.",3458.060059,3523.780029,3456.090088,3505.439941,3345100
22/06/2021,AMZN," Amazon.com, Inc.",3458.060059,3523.780029,3456.090088,3505.439941,3345100
23/06/2021,amzn,"Amazon.com, Inc.",3505,3521,3483.199951,3503.820068,2813300
24/06/2021,AMZN,"Amazon.com, Inc.",3507.639893,3524.860107,3430.850098,3449.080078,3832000
25/06/2021,AMZN,"                Amazon.com, Inc.   ",3464,3464.820068,3394.179932,3401.459961,3941000
28/06/2021,AMzN,"Amazon.com, Inc.",3416,3448,3413.51001,3443.889893,2242800
29/06/2021,AMZN,"      Amazon.com,       Inc.",3438.820068,3456.030029,3423.030029,3448.139893,2098400
30/06/2021,AMZN,"Amazon.com, Inc.",3441.060059,3471.600098,3435,3440.159912,2404000
1/07/2021,Amzn,"Amazon.com, Inc.",3434.610107,3457,3409.419922,3432.969971,2037100
2/07/2021,AMZN,"Amazon.com, Inc.",3451.639893,3511.719971,3436.919922,3510.97998,3169400
,,,,,,,
21/06/2021,tslA,"Telsa, Inc.",624.47998,631.390015,608.880005,620.830017,24812700
22/06/2021,tslA,"Telsa, Inc.",618.25,628.570007,615.5,623.710022,19158900
23/06/2021,tslA,"Telsa, Inc.",632,657.200012,630.039978,656.570007,31099200
24/06/2021,tslA,"Telsa, Inc.",674.98999,697.619995,667.609985,679.820007,45982400
25/06/2021,tslA,"         Telsa, Inc.",689.580017,693.809998,668.700012,671.869995,32496700
28/06/2021,tslA,"Telsa, Inc.",671.640015,694.700012,670.320007,688.719971,21628200
29/06/2021,tslA,"Telsa, Inc.",684.650024,687.51001,675.890015,680.76001,17381300
30/06/2021,tslA,"   Telsa, Inc.",679.77002,692.809998,678.140015,679.700012,18924900
44378,tslA,"Telsa, Inc.",683.919983,687.98999,672.799988,677.919983,18634500
44379,tslA,"   Telsa, Inc.",678.97998,700,673.26001,678.900024,27054500
